;airport;departure;destination;total
141.0;LEBL;713.0;468.0;1181.0
142.0;KMGE;712.0;443.0;1155.0
143.0;KLOU;712.0;590.0;1302.0
144.0;KABQ;711.0;550.0;1261.0
145.0;KLOM;708.0;564.0;1272.0
146.0;KLZU;706.0;484.0;1190.0
147.0;EDDL;704.0;480.0;1184.0
148.0;EGLF;701.0;521.0;1222.0
149.0;EIDW;699.0;467.0;1166.0
150.0;KSWF;696.0;562.0;1258.0
151.0;LIMC;689.0;451.0;1140.0
152.0;KPWA;689.0;668.0;1357.0
153.0;KPMP;683.0;432.0;1115.0
154.0;KIWA;683.0;476.0;1159.0
155.0;KRFD;681.0;349.0;1030.0
156.0;KMQS;680.0;464.0;1144.0
157.0;EDDK;676.0;473.0;1149.0
158.0;KCGF;672.0;403.0;1075.0
159.0;KCLL;671.0;451.0;1122.0
160.0;EDDS;670.0;528.0;1198.0
161.0;KBCT;668.0;486.0;1154.0
162.0;KBLM;664.0;471.0;1135.0
163.0;KCRQ;662.0;565.0;1227.0
164.0;KTUS;660.0;486.0;1146.0
165.0;KSAF;660.0;504.0;1164.0
166.0;KROA;659.0;522.0;1181.0
167.0;KJVL;657.0;545.0;1202.0
168.0;KSGF;654.0;453.0;1107.0
169.0;KLGB;651.0;461.0;1112.0
170.0;XS89;649.0;466.0;1115.0
171.0;EGKK;646.0;384.0;1030.0
172.0;ELLX;640.0;444.0;1084.0
173.0;KHSV;640.0;324.0;964.0
174.0;EDDB;640.0;439.0;1079.0
175.0;KADW;638.0;320.0;958.0
176.0;KOKC;637.0;354.0;991.0
177.0;EGCC;636.0;438.0;1074.0
178.0;KECP;635.0;478.0;1113.0
179.0;KDVT;635.0;497.0;1132.0
180.0;KAGC;631.0;495.0;1126.0
181.0;KLAL;631.0;431.0;1062.0
182.0;EDDH;630.0;491.0;1121.0
183.0;KFWA;630.0;311.0;941.0
184.0;EKCH;627.0;408.0;1035.0
185.0;KBAK;624.0;507.0;1131.0
186.0;PANC;623.0;511.0;1134.0
187.0;KHYI;622.0;478.0;1100.0
188.0;KIWS;619.0;492.0;1111.0
189.0;25GA;619.0;440.0;1059.0
190.0;KRNO;617.0;466.0;1083.0
191.0;KAPC;610.0;506.0;1116.0
192.0;LKPR;609.0;384.0;993.0
193.0;KPSP;609.0;463.0;1072.0
194.0;KOJC;604.0;485.0;1089.0
195.0;KBOI;600.0;467.0;1067.0
196.0;KDTS;600.0;462.0;1062.0
197.0;KENW;598.0;455.0;1053.0
198.0;EGKB;597.0;497.0;1094.0
199.0;KDWH;595.0;662.0;1257.0
200.0;KONT;592.0;279.0;871.0
201.0;KFLD;590.0;523.0;1113.0
202.0;BIKF;583.0;409.0;992.0
203.0;KALN;580.0;448.0;1028.0
204.0;KEFD;578.0;438.0;1016.0
205.0;KHGR;577.0;230.0;807.0
206.0;KERI;577.0;320.0;897.0
207.0;CYVR;576.0;488.0;1064.0
208.0;KHQZ;574.0;515.0;1089.0
209.0;KDAB;574.0;498.0;1072.0
210.0;LSZM;574.0;444.0;1018.0
211.0;KALB;573.0;398.0;971.0
212.0;KBMG;573.0;393.0;966.0
213.0;KXNA;572.0;400.0;972.0
214.0;KSLC;569.0;298.0;867.0
215.0;ESSA;567.0;385.0;952.0
216.0;KIAG;567.0;418.0;985.0
217.0;KSMF;563.0;367.0;930.0
218.0;K06C;556.0;839.0;1395.0
219.0;LIRF;556.0;345.0;901.0
220.0;KSAV;550.0;287.0;837.0
221.0;KMQJ;550.0;327.0;877.0
222.0;LHBP;549.0;369.0;918.0
223.0;KARR;545.0;352.0;897.0
224.0;KDMW;544.0;430.0;974.0
225.0;EINN;544.0;399.0;943.0
226.0;KCLW;543.0;471.0;1014.0
227.0;EPWA;541.0;396.0;937.0
228.0;UUWW;539.0;405.0;944.0
229.0;KPAE;539.0;398.0;937.0
230.0;KLBE;537.0;306.0;843.0
231.0;KSGJ;537.0;405.0;942.0
232.0;CYYC;537.0;405.0;942.0
233.0;K5C1;535.0;424.0;959.0
234.0;KSBM;535.0;372.0;907.0
235.0;KRVS;535.0;410.0;945.0
236.0;KBMI;534.0;392.0;926.0
237.0;LL10;534.0;390.0;924.0
238.0;KVGT;534.0;431.0;965.0
239.0;KBDR;533.0;383.0;916.0
240.0;KHFY;533.0;485.0;1018.0
241.0;KORF;533.0;388.0;921.0
242.0;KSTS;532.0;355.0;887.0
243.0;KPIT;532.0;172.0;704.0
